context_score	matched_terms	Generated export	Module	Path	Line	Declaration	Basename	Consumption class	Classification evidence	Module class	Reference consumer count	Reference consumer sample	Public promotion gate	ID	Name	Metaphor	Mapping	Operational consequence	Boundary	Phase	Phase status	Phase type	Title	Added modules	Modified modules	Reusable existing modules	Manifest rule	Semantic placement	Reuse/duplication audit	Canonical generator policy	Compactness rule	Duplicate risks	Consumer direction	Regression protocol	Lean/mathlib policy	Concrete traversal	Mathlib complication log	Noncomputable boundary audit	Group	Imported-by count
18	dtn; schur; generalizeddtn; boundary; operator; bright	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	532	CNNA.PillarA.Coupling.GeneralizedDtNStrong.rawBrightBrightBlock_eq_rawBoundaryOperator	rawBrightBrightBlock_eq_rawBoundaryOperator	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
18	dtn; schur; generalizeddtn; boundary; operator; bright	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	541	CNNA.PillarA.Coupling.GeneralizedDtNStrong.stabilizedBrightBrightBlock_eq_stabilizedBoundaryOperator	stabilizedBrightBrightBlock_eq_stabilizedBoundaryOperator	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
18	dtn; schur; generalizeddtn; boundary; operator; bright	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	551	CNNA.PillarA.Coupling.GeneralizedDtNStrong.brightBrightBlock_eq_boundaryOperator	brightBrightBlock_eq_boundaryOperator	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; matrix	declaration_consumption_records.generated.tsv	CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryMatrix	CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryMatrix.lean	52	CNNA.PillarA.Arithmetic.BoundarySource.MatrixDerivedFrom.generalizedDtNAnchor_eq	generalizedDtNAnchor_eq	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	2	CNNA.PillarA.Arithmetic.BoundarySource.MultiSchurToLevelHistoryAdapter	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	117	CNNA.PillarA.Coupling.GeneralizedDtNStrong.rawBoundaryOperator	rawBoundaryOperator	core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	121	CNNA.PillarA.Coupling.GeneralizedDtNStrong.symmetrizedBoundaryOperator	symmetrizedBoundaryOperator	core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	125	CNNA.PillarA.Coupling.GeneralizedDtNStrong.stabilizedBoundaryOperator	stabilizedBoundaryOperator	core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	131	CNNA.PillarA.Coupling.GeneralizedDtNStrong.boundaryOperator	boundaryOperator	core-computational	inherits module classification: Pillar-A internal module without policy/wrapper/phase/dead markers	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	205	CNNA.PillarA.Coupling.GeneralizedDtNStrong.boundaryOperator_eq_rawBoundaryOperator	boundaryOperator_eq_rawBoundaryOperator	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
17	dtn; schur; generalizeddtn; boundary; operator	declaration_consumption_records.generated.tsv	CNNA.PillarA.Coupling.GeneralizedDtN	CNNA/PillarA/Coupling/GeneralizedDtN.lean	209	CNNA.PillarA.Coupling.GeneralizedDtNStrong.rawBoundaryOperator_eq_binary_boundaryOperator	rawBoundaryOperator_eq_binary_boundaryOperator	proof-bridge	declaration name carries proof/certificate/equality/witness role	core-computational	60	CNNA.PillarA.Coupling.MultiSchur; CNNA.PillarA.Network.SectorChannels	blocked from public-final unless later linked to a documented object/API contract																											
